radius3, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
0, 0.5, 23, regularization, -0.00525898233742, 0.00118783787203, 4.4273570167, 0.00245242804099, 0.00232059491329, 1.05681005631
0, 0.5, 24, regularization, -0.00610275506263, 0.000918115346158, 6.64704613442, 0.00290637344471, 0.00200910295938, 1.44660254027
0, 0.5, 25, regularization, -0.00570143018419, 0.00102425508422, 5.56641628831, 0.00291596468373, 0.00224052862127, 1.30146281375
0, 1.0, 26, no_regularization, -0.0122086526692, 0.000905475940669, 13.4831331467, 0.00637558136894, 0.00863804822782, 0.738081242521
0, 1.0, 27, no_regularization, -0.0118374187885, 0.00109852996077, 10.7756904328, 0.00604407345966, 0.00948274188246, 0.637376144429
0, 1.0, 28, no_regularization, -0.0116403698074, 0.00199828186051, 5.82518914748, 0.00702686406101, 0.0127609810204, 0.550652340113
0, 1.0, 29, no_regularization, -0.0123269936385, 0.000930483409113, 13.2479456568, 0.00628990463699, 0.00862577406728, 0.729198862378
0, 1.0, 30, no_regularization, -0.0120034563307, 0.00118018759605, 10.1708036679, 0.00616056147001, 0.0092862487644, 0.663406896187
0, 1.0, 26, regularization, -0.0122105671474, 0.00079999832723, 15.2632408492, 0.00608428447993, 0.00241235639149, 2.52213333876
0, 1.0, 27, regularization, -0.0118299398458, 0.000956690743216, 12.365479576, 0.00584367256662, 0.00228021801037, 2.56276923524
0, 1.0, 28, regularization, -0.0116418367992, 0.00155291306194, 7.49677305478, 0.00614993022492, 0.00285859898879, 2.15137913679
0, 1.0, 29, regularization, -0.0123467251827, 0.00070857584716, 17.424705107, 0.00625388569366, 0.00265507096802, 2.35544954127
0, 1.0, 30, regularization, -0.0120251580847, 0.000964202368975, 12.4716122586, 0.00608101170529, 0.00257846337514, 2.35838591462
0, 7.0, 6, no_regularization, -0.0254433183204, 0.444192076131, 0.0572799914444, -0.0506308211458, 0.646070175669, 0.0783673709955
0, 7.0, 7, no_regularization, -0.00882345432921, 0.443753758385, 0.0198836723351, -0.179019585807, 0.783072852922, 0.228611661276
0, 7.0, 8, no_regularization, -0.0333686264159, 0.303824239284, 0.109828717072, 0.018131608416, 0.3660946207, 0.0495271096344
0, 7.0, 9, no_regularization, -0.0544494046308, 0.177795742086, 0.306246955029, 0.0417876263591, 0.204159084879, 0.204681689203
0, 7.0, 10, no_regularization, -0.00155034694964, 0.48890996287, 0.00317102752527, 0.0441161409019, 0.67921797663, 0.0649513741094
0, 7.0, 6, regularization, -0.0199578756201, 0.374745578472, 0.0532571343508, -0.0277369850613, 0.632419676986, 0.0438585105281
0, 7.0, 7, regularization, -0.00713631636502, 0.317518922447, 0.0224752474908, -0.153911874015, 0.709683283704, 0.216874030359
0, 7.0, 8, regularization, -0.0293454926346, 0.225160784412, 0.130331277319, 0.0143469262819, 0.33028819745, 0.0434375990202
0, 7.0, 9, regularization, -0.0516656526966, 0.139836910108, 0.369470783192, 0.0427220633809, 0.17190903548, 0.248515520209
0, 7.0, 10, regularization, -0.00296340952482, 0.423539114208, 0.0069967788698, 0.0473726453922, 0.662507011508, 0.0715051230694
0, 11.0, 1, no_regularization, -0.0579799463059, 0.522056250447, 0.111060726227, -0.0342922314098, 0.703993011304, 0.0487110395405
0, 11.0, 2, no_regularization, -0.031832639838, 0.502293409525, 0.0633745918907, 0.0275177337384, 0.775343068026, 0.0354910424471
0, 11.0, 3, no_regularization, -0.069689169719, 0.559555903784, 0.124543712697, 0.0318013048303, 0.590469752799, 0.0538576356867
0, 11.0, 4, no_regularization, 0.0323241071061, 0.394368935198, 0.0819641310994, 0.0147616100281, 0.384090616424, 0.0384326234407
0, 11.0, 5, no_regularization, 0.0281551751032, 0.49848793798, 0.0564811562287, 0.00712666462212, 0.734820112352, 0.00969851600728
0, 11.0, 1, regularization, -0.057975134375, 0.457999156598, 0.12658349593, -0.0249916483367, 0.647194920471, 0.0386153344938
0, 11.0, 2, regularization, -0.0331675705227, 0.400390571089, 0.0828380409472, 0.04034818235, 0.744518834935, 0.054193635482
0, 11.0, 3, regularization, -0.0711026261268, 0.497114136548, 0.143030786894, 0.0247042673628, 0.564286696679, 0.0437796380957
0, 11.0, 4, regularization, 0.0317972606547, 0.280250824001, 0.11346000772, 0.00573734835637, 0.346250623555, 0.0165699293115
0, 11.0, 5, regularization, 0.0318849878884, 0.464241332813, 0.0686819238934, 0.0188546848363, 0.692738013255, 0.0272176269752
0, 11.0, 26, no_regularization, -0.0322314080777, 0.5266763706, 0.0611977485169, 0.0221266538643, 0.853046868906, 0.0259383800244
0, 11.0, 27, no_regularization, -0.0553547271525, 0.497814793129, 0.111195424316, -0.0968977347789, 0.71450968573, 0.135614305466
0, 11.0, 28, no_regularization, -0.0159298268135, 0.488092737276, 0.032636885569, 0.0635738158524, 0.802963012432, 0.0791740277798
0, 11.0, 29, no_regularization, -0.0120607199937, 0.324939344464, 0.0371168348776, 0.0309622542434, 0.442208065755, 0.0700173891912
0, 11.0, 30, no_regularization, 0.0136053677041, 0.320032968873, 0.0425123941201, 0.0712682126362, 0.436985083675, 0.163090721626
